date       ,temperature ,wind_speed ,wind_degree ,weather_code ,precip               ,humidity ,visibility ,pressure ,cloudcover ,heatindex ,dewpoint ,windchill ,windgust ,feelslike ,chanceofrain ,chanceofremdry ,chanceofwindy ,chanceofovercast ,chanceofsunshine ,chanceoffrost ,chanceofhightemp ,chanceoffog ,chanceofsnow ,chanceofthunder ,uv_index
2023-05-05 ,     12.125 ,     6.375 ,    213.5   ,     116.75  ,0.0                  ,  69.125 ,    10.0   ,1019.875 ,    43.125 ,   12.125 ,5.5      ,   11.625 ,  12.375 ,   11.625 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.5
2023-05-06 ,     14.375 ,     4.125 ,     92.75  ,     117.875 ,0.0                  ,  65.125 ,    10.0   ,1023.75  ,    63.875 ,   14.375 ,7.0      ,   14.375 ,   9.0   ,   14.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.25
2023-05-07 ,     18.125 ,     5.0   ,    216.25  ,     146.375 ,0.1625               ,  69.5   ,    10.0   ,1018.25  ,    46.75  ,   18.625 ,12.625   ,   18.125 ,  11.5   ,   18.625 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.25
2023-05-08 ,     20.75  ,     7.875 ,    230.25  ,     119.75  ,0.0                  ,  80.5   ,     6.125 ,1011.625 ,    82.625 ,   21.25  ,16.5     ,   20.75  ,  17.25  ,   21.25  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-05-09 ,     16.0   ,     7.375 ,    152.25  ,     147.875 ,0.0625               ,  88.25  ,     8.0   ,1011.125 ,    81.625 ,   16.0   ,12.875   ,   15.875 ,  14.25  ,   15.875 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.375
2023-05-10 ,     15.375 ,     6.625 ,    290.5   ,     113.0   ,0.0                  ,  65.625 ,     7.0   ,1021.625 ,     9.375 ,   16.0   ,7.625    ,   15.125 ,  10.625 ,   15.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.875
2023-05-11 ,     18.375 ,     6.75  ,    216.875 ,     113.0   ,0.0                  ,  67.0   ,    10.0   ,1021.5   ,    12.375 ,   18.5   ,11.25    ,   18.125 ,  11.75  ,   18.25  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-05-12 ,     21.125 ,     6.75  ,    233.875 ,     114.125 ,0.0                  ,  68.625 ,    10.0   ,1019.75  ,    23.625 ,   21.875 ,14.875   ,   21.0   ,  11.375 ,   21.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.25
2023-05-13 ,     20.0   ,     5.875 ,    129.125 ,     201.5   ,0.85                 ,  87.625 ,     8.0   ,1018.875 ,    86.75  ,   20.5   ,17.5     ,   20.0   ,  13.0   ,   20.0   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.875
2023-05-14 ,     18.875 ,     9.5   ,    151.125 ,     115.625 ,0.0                  ,  61.75  ,     9.0   ,1021.625 ,    38.5   ,   19.5   ,10.5     ,   18.75  ,  15.125 ,   19.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-05-15 ,     17.75  ,     7.375 ,    176.125 ,     114.125 ,0.0                  ,  49.625 ,    10.0   ,1024.0   ,    17.25  ,   18.125 ,6.25     ,   17.375 ,  14.75  ,   17.5   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.875
2023-05-16 ,     17.25  ,     8.875 ,    234.625 ,     130.25  ,0.0625               ,  81.25  ,     8.375 ,1012.0   ,    41.375 ,   17.875 ,12.75    ,   16.875 ,  17.875 ,   17.125 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.0
2023-05-17 ,     17.5   ,    13.875 ,    216.375 ,     137.75  ,0.1375               ,  60.75  ,    10.0   ,1010.375 ,    21.625 ,   18.0   ,8.125    ,   17.25  ,  23.0   ,   17.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-05-18 ,     15.0   ,    10.375 ,     81.25  ,     113.0   ,0.0                  ,  45.375 ,    10.0   ,1022.875 ,     1.5   ,   15.25  ,3.0      ,   14.5   ,  19.375 ,   14.5   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.75
2023-05-19 ,     16.375 ,    11.125 ,    138.75  ,     117.125 ,0.0                  ,  69.875 ,     9.0   ,1023.75  ,    50.25  ,   16.875 ,9.875    ,   16.25  ,  20.25  ,   16.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.875
2023-05-20 ,     18.5   ,     5.875 ,    241.375 ,     125.375 ,0.037500000000000006 ,  80.0   ,     6.5   ,1016.125 ,    63.5   ,   19.0   ,13.875   ,   18.5   ,  10.625 ,   19.0   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.0
2023-05-21 ,     18.5   ,    12.375 ,    305.75  ,     136.625 ,0.08750000000000001  ,  62.125 ,    10.0   ,1016.875 ,    21.0   ,   18.5   ,10.25    ,   18.25  ,  21.25  ,   18.25  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-05-22 ,     19.75  ,     7.625 ,    123.25  ,     113.375 ,0.0                  ,  59.5   ,    10.0   ,1019.75  ,    18.625 ,   19.875 ,11.125   ,   19.75  ,  15.0   ,   19.875 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.375
2023-05-23 ,     17.625 ,    10.625 ,     85.0   ,     113.0   ,0.0                  ,  64.75  ,    10.0   ,1024.125 ,    15.25  ,   17.75  ,10.0     ,   17.625 ,  18.375 ,   17.75  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-05-24 ,     17.5   ,     6.5   ,     71.125 ,     117.125 ,0.0                  ,  61.25  ,    10.0   ,1018.125 ,    46.5   ,   17.75  ,8.375    ,   17.25  ,  13.0   ,   17.5   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.75
2023-05-25 ,     16.625 ,    12.25  ,     18.875 ,     114.5   ,0.0                  ,  45.75  ,    10.0   ,1019.25  ,    21.0   ,   17.0   ,4.125    ,   15.875 ,  21.375 ,   16.0   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.875
2023-05-26 ,     16.375 ,     9.375 ,     54.625 ,     113.0   ,0.0                  ,  52.75  ,    10.0   ,1022.875 ,     7.25  ,   16.75  ,6.25     ,   16.375 ,  16.125 ,   16.5   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.0
2023-05-27 ,     16.875 ,    12.125 ,     76.75  ,     113.0   ,0.0                  ,  52.125 ,    10.0   ,1025.625 ,     9.75  ,   17.125 ,6.125    ,   16.75  ,  19.375 ,   16.75  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.0
2023-05-28 ,     15.625 ,    10.25  ,     45.625 ,     155.375 ,0.23750000000000002  ,  82.0   ,     9.5   ,1021.0   ,    73.5   ,   15.625 ,11.0     ,   15.25  ,  19.875 ,   15.25  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.375
2023-05-29 ,     17.875 ,    11.375 ,     49.625 ,     216.125 ,0.4                  ,  96.0   ,     8.75  ,1015.875 ,   100.0   ,   17.875 ,16.5     ,   17.75  ,  20.125 ,   17.75  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.625
2023-05-30 ,     17.5   ,    12.75  ,     71.125 ,     124.625 ,0.0125               ,  77.875 ,    10.0   ,1019.25  ,    57.0   ,   18.125 ,12.75    ,   17.25  ,  23.25  ,   17.25  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.625
2023-05-31 ,     18.5   ,     8.875 ,     67.125 ,     113.0   ,0.0                  ,  67.75  ,    10.0   ,1021.125 ,     8.625 ,   18.625 ,11.25    ,   18.375 ,  16.125 ,   18.5   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.25
2023-06-01 ,     21.875 ,     9.125 ,     78.5   ,     115.625 ,0.0                  ,  67.5   ,     6.5   ,1020.125 ,    31.25  ,   22.125 ,14.375   ,   21.875 ,  15.0   ,   21.75  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.375
2023-06-02 ,     24.0   ,     5.0   ,    151.25  ,     113.75  ,0.0                  ,  60.25  ,    10.0   ,1014.25  ,    11.625 ,   24.25  ,14.25    ,   24.0   ,  10.5   ,   24.25  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.875
2023-06-03 ,     21.625 ,    11.375 ,    101.375 ,     124.625 ,0.0125               ,  69.875 ,    10.0   ,1014.25  ,    57.625 ,   22.375 ,15.375   ,   21.625 ,  21.375 ,   22.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.25
2023-06-04 ,     18.375 ,     9.0   ,     46.5   ,     114.5   ,0.0                  ,  54.375 ,    10.0   ,1016.75  ,    22.25  ,   18.5   ,8.5      ,   18.375 ,  18.625 ,   18.5   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-06-05 ,     19.125 ,    10.0   ,    325.375 ,     113.375 ,0.0                  ,  47.0   ,    10.0   ,1013.25  ,    12.875 ,   19.25  ,7.125    ,   18.875 ,  17.0   ,   18.75  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.25
2023-06-06 ,     21.0   ,    13.125 ,    294.5   ,     113.75  ,0.0                  ,  44.75  ,    10.0   ,1008.375 ,    21.75  ,   21.0   ,7.625    ,   20.875 ,  23.625 ,   20.625 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.5
2023-06-07 ,     20.375 ,     9.375 ,    301.5   ,     115.625 ,0.0                  ,  36.0   ,    10.0   ,1006.0   ,    39.5   ,   20.125 ,4.5      ,   20.375 ,  16.375 ,   20.125 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.25
2023-06-08 ,     19.625 ,     9.375 ,    327.375 ,     114.125 ,0.0                  ,  42.0   ,    10.0   ,1005.875 ,    18.125 ,   19.375 ,5.625    ,   19.5   ,  16.0   ,   19.25  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.25
2023-06-09 ,     17.625 ,     9.875 ,    324.375 ,     130.625 ,0.08750000000000001  ,  56.875 ,    10.0   ,1008.375 ,    47.5   ,   18.5   ,8.125    ,   17.5   ,  19.125 ,   17.75  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.0
2023-06-10 ,     21.375 ,     9.0   ,    274.0   ,     113.75  ,0.0                  ,  49.25  ,    10.0   ,1010.5   ,    25.0   ,   21.0   ,9.125    ,   21.375 ,  17.25  ,   21.0   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.5
2023-06-11 ,     24.375 ,    12.875 ,    201.625 ,     115.25  ,0.0                  ,  51.5   ,    10.0   ,1008.5   ,    36.25  ,   24.75  ,13.25    ,   24.375 ,  23.5   ,   24.75  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.75
2023-06-12 ,     22.375 ,    15.875 ,    229.625 ,     161.0   ,0.9375               ,  69.625 ,    10.0   ,1005.375 ,    61.75  ,   23.5   ,16.625   ,   22.375 ,  26.875 ,   23.125 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-06-13 ,     20.5   ,    10.125 ,    256.625 ,     113.75  ,0.0                  ,  53.875 ,    10.0   ,1007.875 ,    18.125 ,   20.5   ,9.75     ,   20.5   ,  18.125 ,   20.5   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.375
2023-06-14 ,     19.25  ,    10.25  ,    231.75  ,     116.0   ,0.0                  ,  66.25  ,     9.375 ,1003.25  ,    36.25  ,   19.625 ,11.125   ,   19.25  ,  20.875 ,   19.625 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.75
2023-06-15 ,     21.625 ,    10.0   ,    275.25  ,     113.75  ,0.0                  ,  49.375 ,    10.0   ,1005.25  ,    18.75  ,   21.5   ,9.375    ,   21.625 ,  17.125 ,   21.25  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.5
2023-06-16 ,     21.375 ,     9.25  ,    237.125 ,     138.875 ,0.1375               ,  67.125 ,     9.875 ,1005.875 ,    44.875 ,   22.375 ,14.125   ,   21.375 ,  16.625 ,   21.75  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.375
2023-06-17 ,     22.125 ,    15.5   ,    306.75  ,     114.875 ,0.0                  ,  57.625 ,    10.0   ,1006.75  ,    27.625 ,   21.875 ,11.625   ,   22.125 ,  26.375 ,   21.875 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.625
2023-06-18 ,     23.25  ,     7.25  ,    275.125 ,     113.0   ,0.0                  ,  41.75  ,    10.0   ,1011.5   ,     2.625 ,   23.25  ,8.375    ,   23.125 ,  14.875 ,   23.125 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.625
2023-06-19 ,     24.0   ,     9.125 ,    159.5   ,     114.125 ,0.0                  ,  54.0   ,    10.0   ,1014.5   ,    18.375 ,   24.5   ,14.0     ,   24.0   ,  16.375 ,   24.5   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.875
2023-06-20 ,     22.375 ,    10.625 ,    102.5   ,     130.625 ,0.025                ,  77.0   ,     8.0   ,1018.875 ,    55.375 ,   23.375 ,17.5     ,   22.375 ,  22.375 ,   23.0   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.375
2023-06-21 ,     18.375 ,    21.125 ,     61.75  ,     202.25  ,0.3875               ,  87.375 ,     9.625 ,1019.25  ,    95.125 ,   18.375 ,16.125   ,   18.375 ,  35.375 ,   18.375 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.5
2023-06-22 ,     18.875 ,    12.25  ,     61.875 ,     157.625 ,0.125                ,  98.5   ,     7.375 ,1016.25  ,   100.0   ,   19.125 ,18.375   ,   18.875 ,  24.75  ,   18.875 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.625
2023-06-23 ,     21.875 ,     8.25  ,    151.125 ,     268.25  ,1.0625               ,  94.875 ,     5.125 ,1014.75  ,    95.0   ,   23.5   ,21.0     ,   21.875 ,  17.875 ,   23.0   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.0
2023-06-24 ,     23.25  ,     4.375 ,    280.0   ,     171.125 ,0.2375               ,  83.875 ,     6.0   ,1011.625 ,    86.0   ,   24.625 ,20.25    ,   23.25  ,  10.625 ,   24.625 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.125
2023-06-25 ,     24.75  ,     5.875 ,    275.375 ,     115.625 ,0.0                  ,  72.0   ,     9.875 ,1009.625 ,    45.625 ,   26.125 ,19.0     ,   24.75  ,  12.875 ,   25.875 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.75
2023-06-26 ,     25.0   ,     9.875 ,    199.875 ,     153.5   ,0.2125               ,  74.0   ,     9.25  ,1005.875 ,    50.875 ,   27.0   ,19.875   ,   25.0   ,  19.875 ,   26.625 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.875
2023-06-27 ,     22.875 ,     7.25  ,    248.5   ,     156.5   ,0.25                 ,  79.125 ,     7.125 ,1005.375 ,    68.75  ,   24.125 ,19.0     ,   22.875 ,  15.0   ,   23.5   ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.25
2023-06-28 ,     21.625 ,    12.0   ,    303.125 ,     119.0   ,0.0                  ,  73.0   ,    10.0   ,1010.25  ,    73.75  ,   23.0   ,15.875   ,   21.625 ,  20.125 ,   22.25  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   2.875
2023-06-29 ,     24.375 ,     5.0   ,    168.75  ,     113.0   ,0.0                  ,  58.625 ,    10.0   ,1016.0   ,    10.125 ,   24.75  ,15.0     ,   24.375 ,  10.75  ,   24.75  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.75
2023-06-30 ,     24.375 ,    10.25  ,    157.5   ,     152.375 ,0.45                 ,  70.5   ,    10.0   ,1015.375 ,    40.5   ,   25.75  ,19.125   ,   24.375 ,  17.5   ,   25.75  ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.875
2023-07-01 ,     24.75  ,    10.625 ,    176.125 ,     174.875 ,0.4125               ,  66.0   ,    10.0   ,1015.0   ,    54.5   ,   25.625 ,19.0     ,   24.75  ,  18.75  ,   25.625 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.25
2023-07-02 ,     25.25  ,     6.625 ,    182.625 ,     126.875 ,0.025                ,  86.625 ,     6.25  ,1010.75  ,    80.25  ,   28.5   ,22.375   ,   25.25  ,  16.0   ,   27.625 ,         0.0 ,           0.0 ,          0.0 ,             0.0 ,             0.0 ,          0.0 ,             0.0 ,        0.0 ,         0.0 ,            0.0 ,   3.25
